verbe;351960;être;;
pron.;270395;il;;
verbe;248488;avoir;;
adv.;186755;ne;;
pron.;184186;je;;
pron.;168684;se;;
pron.;148392;qui;;
pron.;126397;elle;;
pron.;107074;ce;;
pron.;105873;le;;
adv.;103083;pas;;
pron.;99412;que;;
pron.;89623;vous;;
verbe;77608;faire;;
adv.;75499;plus;;
verbe;72134;dire;;
pron.;71086;me;;
pron.;70246;on;;
pron.;65988;lui;;
pron.;62554;nous;;
verbe;55394;pouvoir;;
adj.;47221;tout;;
prép.;2452;afin de;;
pron.;46031;y;;
verbe;41702;aller;;
verbe;39659;voir;;
pron.;38935;en;;
adv.;37171;bien;;
interj.;6138;ah;;
pron.;36089;où;;
pron.;35774;tu;;
subst.;33202;homme;;
adv.;32024;si;;
numér.;30211;deux;;
subst.;30082;mari;;
pron.;30053;moi;;
verbe;29435;vouloir;;
pron.;28542;te;;
subst.;26148;femme;;
verbe;26023;venir;;
adj.;25388;grand;;
pron.;24270;celui;;
verbe;22703;devoir;;
adv.;22695;là;;
subst.;22232;jour;;
verbe;20489;prendre;;
adv.;19994;même;;
adv.;19915;tout;;
pron.;19379;rien;;
adv.;19176;encore;;
adj.;19008;petit;;
adv.;18311;aussi;;
pron.;17797;dont;;
pron.;17486;tout;;
subst.;17166;mer;;
verbe;16833;trouver;;
verbe;16795;donner;;
subst.;16785;temps;;
pron.;16494;ça;;
adv.;16251;peu;;
adj.;16081;même;;
verbe;16078;falloir;;
verbe;15814;parler;;
adv.;15639;alors;;
subst.;15540;main;;
subst.;15524;chose;;
prép.;14606;après;;
verbe;15339;mettre;;
subst.;15241;vie;;
verbe;15102;savoir;;
subst.;14981;yeux;;
verbe;14976;passer;;
adj.;14688;autre;;
verbe;14604;regarder;;
adv.;14336;toujours;;
adv.;14255;jamais;;
pron.;14253;cela;;
verbe;14138;aimer;;
adv.;14039;non;;
subst.;13940;heure;;
verbe;13881;croire;;
numér.;13798;cent;;
subst.;13737;monde;;
subst.;13348;enfant;;
subst.;13191;fois;;
adj.;13104;seul;;
pron.;13063;autre;;
verbe;12597;demander;;
adj.;12593;jeune;;
adv.;12432;très;;
subst.;12274;moment;;
verbe;12155;rester;;
dét.;123502;au;;
dét.;5774;aucun;;
verbe;12063;répondre;;
verbe;12009;entendre;;
prép.;1955;auprès;;
subst.;11999;tête;;
subst.;11854;père;;
subst.;11842;fille;;
numér.;11758;mille;;
adj.;11731;premier;;
adj.;11483;bon;;
numér.;11372;trois;;
subst.;11312;coeur;;
adv.;11296;ainsi;;
subst.;11274;an;;
numér.;10970;quatre;;
pron.;10941;un;;
subst.;10786;terre;;
subst.;10661;dieu;;
prép.;7425;avant;;
subst.;10489;monsieur;;
prép.;55081;avec;;
subst.;10469;voix;;
verbe;10358;penser;;
adj.;10343;quel;;
verbe;10288;arriver;;
subst.;10287;maison;;
subst.;9991;coup;;
adj.;9870;beau;;
verbe;9769;connaître;;
verbe;9759;devenir;;
subst.;9755;air;;
subst.;9752;mot;;
subst.;9694;nuit;;
subst.;9603;eau;;
verbe;9585;sentir;;
adj.;9515;vieux;;
verbe;9482;sembler;;
adv.;9472;moins;;
verbe;9312;tenir;;
adv.;9098;ici;;
verbe;9037;comprendre;;
adv.;9005;oui;;
verbe;9002;rendre;;
pron.;8997;toi;;
numér.;8920;vingt;;
verbe;8851;attendre;;
verbe;8768;sortir;;
subst.;8744;ami;;
adv.;8686;trop;;
subst.;8649;porte;;
pron.;8574;lequel;;
subst.;8283;amour;;
adv.;8170;déjà;;
subst.;8040;pied;;
adv.;7960;tant;;
subst.;7944;gens;;
subst.;7795;nom;;
verbe;7625;vivre;;
verbe;7614;entrer;;
verbe;7544;reprendre;;
verbe;7499;porter;;
subst.;7451;pays;;
subst.;7433;ciel;;
subst.;7415;frère;;
subst.;7399;regard;;
verbe;7304;chercher;;
subst.;7255;âme;;
subst.;7245;côté;;
subst.;7182;mort;;
adv.;7126;enfin;;
verbe;7114;revenir;;
adj.;7038;noir;;
subst.;7031;esprit;;
adv.;7024;maintenant;;
adj.;7019;nouveau;;
subst.;6983;ville;;
subst.;6923;rue;;
conj.;11695;car;;
verbe;6892;appeler;;
subst.;6877;soir;;
subst.;6835;chambre;;
verbe;6785;mourir;;
subst.;6751;pas;;
verbe;6726;partir;;
numér.;6723;cinq;;
dét.;141389;ce;;
subst.;6692;soleil;;
adj.;6650;dernier;;
verbe;6610;jeter;;
numér.;6609;dix;;
subst.;6588;roi;;
subst.;6489;état;;
subst.;6425;corps;;
adv.;6399;beaucoup;;
verbe;6397;suivre;;
